245
FBtr0089146	204841	214447	214429	2	9	381	14
FBtr0089145	218503	226551	214447	2	5	390	15
FBtr0089112	230881	233793	226551	1	7	395	16
FBtr0089113	230920	233793	233793	1	6	402	16
FBtr0089114	230967	233793	233793	1	6	408	16
FBtr0089144	235634	246579	233793	2	13	414	17
FBtr0089115	248549	251053	246579	1	3	427	18
FBtr0089116	251355	266499	251053	1	11	430	19
FBtr0300800	252053	266528	266499	1	11	441	19
FBtr0300796	252053	266528	266528	1	12	452	19
FBtr0089119	252055	261943	266528	1	7	464	19
FBtr0300798	252055	266528	266528	1	12	471	19
FBtr0300799	252055	266528	266528	1	10	483	19
FBtr0300797	252541	266528	266528	1	11	493	19
FBtr0113462	270224	273753	266528	2	6	504	20
FBtr0113463	270224	273753	273753	2	7	510	20
FBtr0089142	270655	280204	273753	2	5	517	20
FBtr0299722	276142	283144	280204	1	8	522	21
FBtr0299723	276142	283292	283144	1	9	530	21
FBtr0089141	288939	296992	283292	2	9	539	22
FBtr0089139	299302	326421	296992	2	8	548	23
FBtr0089137	299302	326439	326421	2	9	556	23
FBtr0089138	299302	326439	326439	2	9	565	23
FBtr0114475	299302	326786	326439	2	10	574	23
FBtr0089134	299302	327106	326786	2	10	584	23
FBtr0100397	299302	327106	327106	2	9	594	23
FBtr0089121	328722	330933	327106	1	5	603	24
FBtr0089122	328732	330929	330933	1	5	608	24
FBtr0114519	331557	334500	330933	2	3	613	25
FBtr0089133	331557	334527	334500	2	3	616	25
FBtr0089132	331557	334533	334527	2	3	619	25
FBtr0089123	335571	342012	334533	1	3	622	26
FBtr0300555	349441	379281	342012	2	19	625	27
FBtr0300556	349441	379281	379281	2	17	644	27
FBtr0300554	349441	379281	379281	2	18	661	27
FBtr0300557	349441	379297	379281	2	18	679	27
FBtr0300558	351446	379281	379297	2	17	697	27
FBtr0300559	355295	379281	379297	2	17	714	27
FBtr0089124	380577	395609	379297	1	13	731	28
FBtr0089125	380587	395609	395609	1	13	744	28
FBtr0089127	380602	395609	395609	1	13	757	28
FBtr0089126	380602	395609	395609	1	13	770	28
FBtr0089128	396259	414015	395609	2	10	783	29
FBtr0089129	396259	414015	414015	2	10	793	29
FBtr0089111	457576	464532	414015	2	6	803	30
FBtr0089063	466119	474565	464532	1	8	809	31
FBtr0089064	466145	474565	474565	1	9	817	31
FBtr0089065	466206	474565	474565	1	9	826	31
FBtr0089066	466748	474565	474565	1	11	835	31
FBtr0089068	466793	474565	474565	1	11	846	31
FBtr0089067	466793	474565	474565	1	10	857	31
FBtr0089069	466951	474565	474565	1	11	867	31
FBtr0089110	480507	487449	474565	2	8	878	32
FBtr0091952	488141	489323	487449	1	2	886	33
FBtr0300342	491911	502561	489323	2	14	888	34
FBtr0300344	491911	504405	502561	2	13	902	34
FBtr0300343	493520	502561	504405	2	12	915	34
FBtr0089070	524476	560417	504405	1	13	927	35
FBtr0089106	565888	578439	560417	2	6	940	36
FBtr0089996	578607	586561	578439	1	9	946	37
FBtr0089995	578607	586561	586561	1	9	955	37
FBtr0089994	578782	586561	586561	1	9	964	37
FBtr0089993	578848	586561	586561	1	9	973	37
FBtr0089105	588913	591419	586561	2	6	982	38
FBtr0089078	592382	598158	591419	1	5	988	39
FBtr0089077	592382	598158	598158	1	5	993	39
FBtr0089076	592382	598158	598158	1	5	998	39
FBtr0089075	592382	598158	598158	1	5	1003	39
FBtr0089079	603736	609975	598158	1	10	1008	40
FBtr0089080	603770	609975	609975	1	10	1018	40
FBtr0089104	619179	628118	609975	2	4	1028	41
FBtr0089085	631311	640976	628118	1	13	1032	42
FBtr0301285	631311	641325	640976	1	15	1045	42
FBtr0089086	631311	641359	641325	1	13	1060	42
FBtr0089082	631311	641551	641359	1	13	1073	42
FBtr0089084	631311	641551	641551	1	14	1086	42
FBtr0089083	631311	641551	641551	1	14	1100	42
FBtr0290233	643841	646474	641551	2	3	1114	43
FBtr0100502	643841	646655	646474	2	3	1117	43
FBtr0089103	643841	646655	646655	2	2	1120	43
FBtr0089971	650318	655977	646655	1	10	1122	44
FBtr0089972	650318	655977	655977	1	10	1132	44
FBtr0110907	656750	667181	655977	2	14	1142	45
FBtr0110906	656750	667181	667181	2	13	1156	45
FBtr0089102	656750	667181	667181	2	12	1169	45
FBtr0089101	670574	680556	667181	2	10	1181	46
FBtr0089100	670574	680562	680556	2	10	1191	46
FBtr0089099	670574	680571	680562	2	11	1201	46
FBtr0089098	670574	680574	680571	2	10	1212	46
FBtr0089097	670574	680589	680574	2	10	1222	46
FBtr0100166	670574	681221	680589	2	10	1232	46
FBtr0089096	670574	681221	681221	2	10	1242	46
FBtr0100165	670574	682390	681221	2	10	1252	46
FBtr0089090	684213	690509	682390	1	6	1262	47
FBtr0089091	701244	706795	690509	1	2	1268	48
FBtr0089095	711889	716674	706795	2	5	1270	49
FBtr0089094	711889	716674	716674	2	4	1275	49
FBtr0089093	711889	716674	716674	2	4	1279	49
FBtr0089092	711892	716674	716674	2	5	1283	49
FBtr0089235	718314	741786	716674	1	8	1288	50
FBtr0089236	725702	741786	741786	1	8	1296	50
FBtr0100396	725702	741786	741786	1	9	1304	50
FBtr0100395	728054	741786	741786	1	8	1313	50
FBtr0301340	745029	796706	741786	1	46	1321	51
FBtr0089793	745029	796706	796706	1	41	1367	51
FBtr0301341	745029	796706	796706	1	45	1408	51
FBtr0089254	799079	808261	796706	2	6	1453	52
FBtr0089253	799079	809603	808261	2	6	1459	52
FBtr0089242	820058	820552	809603	1	1	1465	53
FBtr0100600	821055	854638	820552	2	5	1466	54
FBtr0089252	821908	827970	854638	2	3	1471	54
FBtr0089251	857609	865131	854638	2	2	1474	55
FBtr0091801	864172	864429	865131	1	1	1476	56
FBtr0300882	876025	887651	865131	2	9	1477	57
FBtr0300884	876025	887651	887651	2	9	1486	57
FBtr0300883	876025	887651	887651	2	9	1495	57
FBtr0300886	876025	887651	887651	2	9	1504	57
FBtr0300885	876025	887651	887651	2	9	1513	57
FBtr0089245	891550	925418	887651	2	23	1522	58
FBtr0089247	891552	914178	925418	2	23	1545	58
FBtr0089246	891552	925418	925418	2	24	1568	58
FBtr0089244	927897	929809	925418	2	3	1592	59
FBtr0112904	935910	951346	929809	2	17	1595	60
FBtr0089243	935910	951346	951346	2	16	1612	60
FBtr0289951	935910	951346	951346	2	16	1628	60
FBtr0089184	957467	967450	951346	1	9	1644	61
FBtr0089234	972186	978957	967450	2	7	1653	62
FBtr0089233	972186	978982	978957	2	8	1660	62
FBtr0089232	972186	978991	978982	2	8	1668	62
FBtr0089230	972186	979017	978991	2	8	1676	62
FBtr0089231	972186	979017	979017	2	7	1684	62
FBtr0089229	972186	979093	979017	2	9	1691	62
FBtr0301336	982966	989999	979093	2	5	1700	63
FBtr0301335	982966	999047	989999	2	5	1705	63
FBtr0111046	995793	996435	999047	1	1	1710	64
FBtr0111044	995793	997931	999047	1	2	1711	64
FBtr0111045	995793	997931	999047	1	2	1713	64
FBtr0089185	1010353	1026928	999047	1	9	1715	65
FBtr0089225	1034029	1047653	1026928	2	9	1724	66
FBtr0089226	1034029	1047653	1047653	2	10	1733	66
FBtr0089223	1034029	1047719	1047653	2	10	1743	66
FBtr0100296	1034258	1047668	1047719	2	8	1753	66
FBtr0089224	1034258	1047678	1047719	2	10	1761	66
FBtr0089222	1049300	1049984	1047719	2	1	1771	67
FBtr0089221	1050336	1051596	1049984	2	1	1772	68
FBtr0089220	1050336	1052285	1051596	2	2	1773	68
FBtr0089187	1052439	1054160	1052285	1	2	1775	69
FBtr0089186	1052439	1055174	1054160	1	3	1777	69
FBtr0300378	1056642	1071993	1055174	2	17	1780	70
FBtr0100147	1056642	1074328	1071993	2	15	1797	70
FBtr0100148	1056642	1074328	1074328	2	15	1812	70
FBtr0100146	1056642	1074328	1074328	2	16	1827	70
FBtr0089219	1056648	1071955	1074328	2	15	1843	70
FBtr0089218	1056648	1071993	1074328	2	14	1858	70
FBtr0089217	1056648	1074328	1074328	2	14	1872	70
FBtr0300377	1057780	1071942	1074328	2	14	1886	70
FBtr0300379	1057780	1071993	1074328	2	16	1900	70
FBtr0089214	1077990	1081511	1074328	2	7	1916	71
FBtr0089210	1077990	1081541	1081511	2	8	1923	71
FBtr0089213	1077990	1081541	1081541	2	8	1931	71
FBtr0089212	1077990	1081541	1081541	2	8	1939	71
FBtr0089211	1077990	1081541	1081541	2	8	1947	71
FBtr0089216	1077990	1081541	1081541	2	8	1955	71
FBtr0089215	1077990	1081541	1081541	2	8	1963	71
FBtr0089188	1085537	1096829	1081541	1	8	1971	72
FBtr0089209	1097945	1105417	1096829	2	6	1979	73
FBtr0100344	1109443	1131600	1105417	1	12	1985	74
FBtr0100345	1109443	1131600	1131600	1	11	1997	74
FBtr0089328	1109443	1133942	1131600	1	11	2008	74
FBtr0100342	1109443	1133942	1133942	1	12	2019	74
FBtr0100346	1109443	1133942	1133942	1	13	2031	74
FBtr0100343	1109443	1133942	1133942	1	13	2044	74
FBtr0089327	1109443	1133942	1133942	1	13	2057	74
FBtr0301563	1119012	1133942	1133942	1	8	2070	74
FBtr0089208	1135803	1143582	1133942	2	12	2078	75
FBtr0089207	1135803	1144023	1143582	2	12	2090	75
FBtr0089192	1144799	1145806	1144023	1	4	2102	76
FBtr0089193	1147232	1152218	1145806	1	9	2106	77
FBtr0089194	1147232	1155719	1152218	1	14	2115	77
FBtr0089195	1147232	1156546	1155719	1	14	2129	77
FBtr0300992	1158453	1166746	1156546	2	9	2143	78
FBtr0300993	1158453	1167148	1166746	2	9	2152	78
FBtr0089196	1168091	1189864	1167148	1	5	2161	79
FBtr0089205	1193093	1202241	1189864	2	7	2166	80
FBtr0089204	1193093	1202270	1202241	2	7	2173	80
FBtr0091471	1206398	1213326	1202270	1	11	2180	81
FBtr0091470	1206430	1213326	1213326	1	11	2191	81
FBtr0091472	1206430	1213326	1213326	1	11	2202	81
FBtr0091473	1206769	1213326	1213326	1	11	2213	81
FBtr0100543	1213041	1217465	1213326	2	10	2224	82
FBtr0100544	1213041	1217465	1217465	2	10	2234	82
FBtr0100348	1219483	1227064	1217465	1	9	2244	83
FBtr0100347	1219483	1228192	1227064	1	9	2253	83
FBtr0100311	1222920	1223324	1228192	1	1	2262	84
FBtr0100406	1228839	1234432	1228192	2	7	2263	85
FBtr0100403	1229460	1234417	1234432	2	6	2270	85
FBtr0100405	1229460	1234421	1234432	2	6	2276	85
FBtr0100402	1229460	1234432	1234432	2	7	2282	85
FBtr0100404	1229460	1234432	1234432	2	6	2289	85
FBtr0091631	1235703	1275486	1234432	1	25	2295	86
FBtr0091630	1235703	1275486	1275486	1	24	2320	86
FBtr0091632	1235703	1275486	1275486	1	23	2344	86
